tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
394,0.000000,0.000010,0.004000,0.003992,0
395,0.000000,0.000011,0.004000,0.003992,0
396,0.000000,0.000011,0.004000,0.003992,0
397,0.000000,0.000011,0.004000,0.003992,0
398,0.000000,0.000011,0.004000,0.003992,0
399,0.000000,0.000010,0.004000,0.003992,0
400,0.000000,0.000012,0.004000,0.003992,0
401,0.000000,0.000010,0.004000,0.003992,0
402,0.000000,0.000011,0.004000,0.003992,0
403,0.000000,0.000010,0.004000,0.003992,0
404,0.000000,0.000011,0.004000,0.003992,0
405,0.000333,0.000010,0.004000,0.003992,0
406,0.000000,0.000010,0.004000,0.003992,0
407,0.000000,0.000000,0.004000,0.003992,0
408,0.000000,0.000000,0.004000,0.003992,0
409,0.000000,0.000010,0.004000,0.003992,0
410,0.000000,0.000010,0.004000,0.003992,0
411,0.000000,0.000020,0.004000,0.003992,0
412,0.000000,0.000019,0.004000,0.003992,0
413,0.000000,0.000009,0.004000,0.003992,0
414,0.000333,0.000018,0.004000,0.003992,0
415,0.000000,0.000018,0.004000,0.003992,0
416,0.000000,0.000019,0.004000,0.003992,0
417,0.000333,0.000017,0.004000,0.003992,0
418,0.000000,0.000000,0.004000,0.003992,0
419,0.000000,0.000010,0.004000,0.003992,0
420,0.000000,0.000000,0.004000,0.003992,0
421,0.000000,0.000009,0.004000,0.003992,0
422,0.000000,0.000008,0.004000,0.003992,0
423,0.000333,0.000000,0.004000,0.003992,0
424,0.000000,0.000000,0.004000,0.003992,0
425,0.000000,0.000008,0.004000,0.003992,0
426,0.000000,0.000000,0.004000,0.003992,0
427,0.000000,0.000000,0.004000,0.003992,0
428,0.000000,0.000000,0.004000,0.003992,0
429,0.000000,0.000008,0.004000,0.003992,0
430,0.000000,0.000000,0.004000,0.003992,0
431,0.000000,0.000000,0.004000,0.003992,0
432,0.000000,0.000008,0.004000,0.003992,0
433,0.000000,0.000008,0.004000,0.003992,0
434,0.000000,0.000007,0.004000,0.003992,0
435,0.000000,0.000007,0.004000,0.003992,0
436,0.000000,0.000008,0.004000,0.003992,0
437,0.000000,0.000007,0.004000,0.003992,0
438,0.000000,0.000007,0.004000,0.003992,0
439,0.000000,0.000007,0.004000,0.003992,0
440,0.000000,0.000007,0.004000,0.003992,0
441,0.000333,0.000006,0.004000,0.003992,0
442,0.000000,0.000007,0.004000,0.003992,0
443,0.000000,0.000007,0.004000,0.003992,0
444,0.000000,0.000007,0.004000,0.003992,0
445,0.000000,0.000007,0.004000,0.003992,0
446,0.000000,0.000006,0.004000,0.003992,0
447,0.000333,0.000006,0.004000,0.003992,0
448,0.000000,0.000006,0.004000,0.003992,0
449,0.000000,0.000006,0.004000,0.003992,0
450,0.000000,0.000007,0.004000,0.003992,0
451,0.000000,0.000006,0.004000,0.003992,0
452,0.000000,0.000000,0.004000,0.003992,0
