tick,mutation_count,dna_variance
873,58,0.107433
874,57,0.107383
875,61,0.107369
876,62,0.107409
877,63,0.107346
878,81,0.107288
879,49,0.107305
880,65,0.107308
881,72,0.107266
882,75,0.107231
883,71,0.107158
884,58,0.107145
885,75,0.107117
886,57,0.107217
887,84,0.107239
888,66,0.107205
889,70,0.107210
890,70,0.107182
891,79,0.107160
892,73,0.107172
893,82,0.107195
894,58,0.107302
895,73,0.107271
896,65,0.107262
897,80,0.107247
898,66,0.107178
899,77,0.107184
900,80,0.107248
901,110,0.107235
902,82,0.107277
903,58,0.107269
904,55,0.107317
905,54,0.107305
906,82,0.107306
907,35,0.107286
908,65,0.107251
909,58,0.107319
910,82,0.107340
911,66,0.107292
912,65,0.107273
913,80,0.107252
914,71,0.107219
915,84,0.107270
916,76,0.107362
917,60,0.107399
918,74,0.107371
919,54,0.107344
920,80,0.107355
921,63,0.107413
922,69,0.107334
923,71,0.107355
924,76,0.107368
925,76,0.107384
926,79,0.107360
927,52,0.107352
928,50,0.107340
929,82,0.107392
930,75,0.107316
931,69,0.107251
932,43,0.107241
933,73,0.107319
934,48,0.107281
935,53,0.107252
936,65,0.107277
937,82,0.107209
938,60,0.107220
939,88,0.107211
940,69,0.107239
941,73,0.107233
942,75,0.107166
943,67,0.107154
944,72,0.107154
945,50,0.107114
946,78,0.107114
947,72,0.107111
948,49,0.107072
949,72,0.107127
950,58,0.107105
951,61,0.107077
952,65,0.107031
953,77,0.107039
954,64,0.107107
955,68,0.107119
956,83,0.107154
957,53,0.107153
958,75,0.107138
959,67,0.107117
960,66,0.107136
961,60,0.107136
962,56,0.106995
963,61,0.107011
964,69,0.107112
965,58,0.107121
966,93,0.107022
967,67,0.106991
968,97,0.107051
969,58,0.107105
970,74,0.107162
971,47,0.107187
972,75,0.107102
973,57,0.107083
974,70,0.107038
975,88,0.106985
976,64,0.107041
977,75,0.107067
978,66,0.107084
979,60,0.107086
980,61,0.107152
981,65,0.107189
982,78,0.107171
983,77,0.107234
984,86,0.107241
985,74,0.107218
986,67,0.107287
987,66,0.107268
988,50,0.107258
989,61,0.107282
990,73,0.107263
991,67,0.107298
992,67,0.107321
993,59,0.107321
994,75,0.107270
995,60,0.107285
996,77,0.107257
997,57,0.107252
998,70,0.107195
999,63,0.107172
